setting_id,setting_name,circuito_fecha,sesion,tiempo_vuelta,categoria,parametro,valor,notas
3,SETTING 3,,,,GEOMETRY & DRIVE,Posición Eje Trasero / Cadena,,
3,SETTING 3,,,,GEOMETRY & DRIVE,Altura Delantera / Trasera,,
3,SETTING 3,,,,GEOMETRY & DRIVE,Pivot de Basculante,,
3,SETTING 3,,,,ELECTRONICS,Mapa de Motor (PWR),,
3,SETTING 3,,,,ELECTRONICS,Tracción (TC) / Freno (EB),,
3,SETTING 3,,,,ELECTRONICS,Anti-Wheelie (AW) / QS,,
3,SETTING 3,,,,CONDITIONS,Temp Aire / Temp Asfalto,,
3,SETTING 3,,,,CONDITIONS,Viento / Humedad / Pista,,
3,SETTING 3,,,,RIDER FEEDBACK,Frenada / Entrada curva,,
3,SETTING 3,,,,RIDER FEEDBACK,Paso por curva,,
3,SETTING 3,,,,RIDER FEEDBACK,Aceleración / Salida,,
,,,,,,,,
TIP,Rellena la pestaña 'Mejora de Hoja de Configuración' y esta tabla se actualiza sola.,,,,,,,
